yolo detect predict model=model.pt source=./test_videos/gun3.mp4
Ultralytics 8.3.43 🚀 Python-3.10.12 torch-2.5.1+cu124 CUDA:0 (NVIDIA GeForce RTX 2080 SUPER, 7967MiB)
video 1/1 (frame 67/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 68/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 69/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 70/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 71/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 72/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 73/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 74/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 75/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 76/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 77/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 78/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 79/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 80/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.7ms
